name,imagePath,tool,menuPath
restore-defaults,Docs/migration/dialogs/images/restore-defaults-before.png,lexiconDictionary,Tools|Configure|Restore Defaults...
configure-interlin,Docs/migration/dialogs/images/configure-interlin-before.png,interlinearEdit,Tools|Configure|Interlinear...
try-a-word,Docs/migration/dialogs/images/try-a-word-before.png,interlinearEdit,Parser|Try a Word...
parser-parameters,Docs/migration/dialogs/images/parser-parameters-before.png,interlinearEdit,Parser|Edit Parser Parameters...
interlinear-import,Docs/migration/dialogs/images/interlinear-import-before.png,interlinearEdit,File|Import|FLExText Interlinear...
lingua-links-import,Docs/migration/dialogs/images/lingua-links-import-before.png,interlinearEdit,File|Import|LinguaLinks Data...
sfm-to-texts-and-words-mapping,Docs/migration/dialogs/images/sfm-to-texts-and-words-mapping-before.png,interlinearEdit,File|Import|Standard Format Words and Glosses...
