name,imagePath,tool,menuPath
interlinear-export,Docs/migration/dialogs/images/interlinear-export-before.png,interlinearEdit,File|Export Interlinear...
notebook-export,Docs/migration/dialogs/images/notebook-export-before.png,notebookEdit,File|Export...
filter-texts,Docs/migration/dialogs/images/filter-texts-before.png,interlinearEdit,View|Choose Texts...
import-word-set,Docs/migration/dialogs/images/import-word-set-before.png,Analyses,Insert|Import Word Set...
