name,imagePath,tool,menuPath
help-about,Docs/migration/dialogs/images/help-about-before.png,lexiconEdit,Help|About Language Explorer...
discourse-export,Docs/migration/dialogs/images/discourse-export-before.png,chartmarkEdit,File|Export Discourse Chart...
